#,region,max,min,average,sum
1,241,24744.658,14075.508,20192.370366666666,605771.111
2,121,19182.795,10202.528,15193.959383333333,455818.7815
3,202,15361.878,7271.2754,11729.888753333335,351896.66260000004
4,206,15641.958,6806.0127,11424.326893333337,342729.8068000001
5,77,13164.881,6339.0796,10189.046003333331,305671.38009999995
6,97,11121.142,5425.8726,8599.173279999999,257975.19839999996
7,209,5017.977,4356.8184,4748.2680900000005,142448.04270000002
8,3,4917.784,4283.073,4649.702376666666,139491.07129999998
9,120,3873.533,3014.617,3568.1054499999996,107043.16349999998
10,58,4591.0107,2009.9395,3427.4611333333323,102823.83399999997
